"","HAS_FIRE","Elevation","Slope","NDVI","Road","Hydrography","Pop_dens","Ocupations","LULC","Temperature","RH","Precipitation","Wind Speed","Prob_fogo","HasFire_Predict"
"1945","not-burned",695.689,1.80808,0.583945,530.91,652.711,3.51187,1674.2,"4",24.56146,56.15467,41.15279,3.12536,2.220446e-16,"0"
"1946","not-burned",779.27,4.08922,0.64245,3291.05,184.915,0.895577,3082.25,"4",27.28459,82.0419,5.003792,11.15919,0.0006624513,"0"
"1947","not-burned",786.034,0.948049,0.576703,524.782,435.259,0.895577,1319.86,"4",23.89889,91.3236,21.75673,11.59938,2.220446e-16,"0"
"1948","not-burned",672.726,3.73196,0.566171,4095.97,346.611,1.10344,709.69,"12",24.23741,45.50944,4.420386,18.09227,0.00524822,"0"
"1949","not-burned",790.839,0.71356,0.618851,4355.24,853.363,0.895577,4083.66,"4",24.50757,77.96826,31.22892,9.619249,2.220446e-16,"0"
"1950","not-burned",647.024,2.645,0.651495,3280.5,60.7996,1.10344,1802.84,"4",21.32031,90.49376,39.71934,8.125092,2.220446e-16,"0"
"1951","not-burned",791.009,0.215285,0.642377,1674.47,1258.57,0.895577,1484.62,"4",24.09981,32.60524,15.48467,12.7958,1.079968e-09,"0"
"1952","not-burned",697.015,1.80775,0.601359,4393.27,1569.05,1.10344,1541.12,"4",27.95468,38.80693,13.81148,5.183078,3.002127e-08,"0"
"1953","not-burned",692.717,1.60753,0.622821,4472.9,1453.16,1.10344,1648.61,"4",25.51322,88.12048,21.92082,5.111372,2.220446e-16,"0"
"1954","not-burned",793.278,1.3151,0.566039,881.594,778.615,0.895577,6124.26,"12",27.90255,66.76849,37.42772,17.13322,2.220446e-16,"0"
"1955","not-burned",696.013,2.39806,0.645666,4352.38,875.282,1.10344,367.322,"4",20.68123,64.62337,42.00439,7.132846,2.220446e-16,"0"
"1956","not-burned",775.482,2.51162,0.635601,883.688,571.16,0.895577,2219.39,"4",23.34478,69.39446,33.63172,14.79051,2.220446e-16,"0"
"1957","not-burned",676.176,3.10724,0.366242,2895.81,1355.78,0.895577,2116.88,"15",29.75709,53.96983,21.04893,4.130921,7.795791e-13,"0"
"1958","not-burned",676.951,1.90209,0.634566,5292.36,135.952,1.10344,1085.06,"4",25.17728,48.5517,12.06352,12.57311,7.8329e-08,"0"
"1959","not-burned",729.161,3.82536,0.609958,1142.72,30.3998,3.51187,693.222,"4",28.36511,60.79602,20.08163,11.02459,3.879907e-13,"0"
