hasFire,elevation,slope,ndvi,road,hydrography,popDens,ocupations,lulc,year
1,809.0369873,0.115415998,0.6036,4465.459961,4698.220215,0.0,9186.825195,4,2007
1,735.9730225,1.154420018,0.4777,954.572998,407.8559875,0.292205989,3283.740479,4,2007
1,758.6030273,0.980328977,0.4724,1264.430054,1613.47998,0.292205989,1342.074219,4,2007
1,729.6010132,0.704626024,0.5322,1467.400024,0.0,0.292205989,4164.882324,4,2007
1,728.177002,2.594280005,0.4833,151.9989929,376.0249939,0.0,12783.8623,4,2007
1,728.4719849,0.449979991,0.5469,1467.089966,60.79959869,0.292205989,3952.089844,3,2007
1,752.7139893,2.593280077,0.4931,109.6080017,524.7819824,0.0,13414.54297,4,2007
1,759.3920288,1.007570028,0.4261,1180.51001,2484.98999,0.0,10050.2002,4,2007
1,731.4390259,0.461937994,0.5682,1431.050049,271.9039917,0.0123088,5264.78418,4,2007
1,733.3319702,0.443919003,0.2577,530.9099731,271.9039917,0.292205989,1101.546875,12,2007
1,737.4520264,1.007500052,0.5357,715.526001,299.4030151,0.292205989,5163.492188,4,2007
1,725.2750244,0.294887006,0.5801,1174.630005,0.0,0.0,5472.046875,4,2007
1,731.6760254,0.404334009,0.603,1556.339966,151.9989929,0.0123088,4718.239746,4,2007
1,733.8179932,2.405119896,0.5167,864.6589966,0.0,0.292205989,4003.203613,4,2007
1,740.4310303,0.570325971,0.3103,271.9039917,730.8610229,0.292205989,1960.020508,4,2007
1,803.6599731,2.628560066,0.5081,2934.800049,2470.629883,0.0,6289.818848,4,2007
1,814.5250244,0.625837982,0.594,4320.620117,1128.47998,0.0,8431.490234,4,2007
1,773.2719727,2.133790016,0.4805,1637.079956,2474.360107,0.0,9186.020508,4,2007
1,768.4210205,1.559769988,0.6171,30.39979935,1002.72998,0.0,13179.24805,4,2007
1,731.6760254,0.404334009,0.5852,1556.339966,151.9989929,0.0123088,4718.239746,4,2007
1,737.5300293,0.591966987,0.5081,259.7359924,705.117981,0.292205989,2278.970947,12,2007
1,810.7399902,1.948050022,0.4369,3037.699951,2206.030029,0.0,6523.004883,4,2007
1,735.117981,1.423869967,0.559,1741.040039,423.4200134,0.0123088,4948.727539,4,2007
1,775.4500122,2.533910036,0.5425,1128.069946,3116.97998,0.0,4459.557129,4,2007
1,727.5980225,1.831969976,0.2862,1349.290039,666.7189941,0.0,10683.65625,4,2007
1,801.9260254,1.233260036,0.2559,1711.319946,2244.030029,0.0,4703.723145,4,2007
