"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","year","month"
8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,48384,240
0.00758922900007981,0.00189730700007981,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,48384,240
5.34566346400003,12.979479591,4.33344998900003,5.92339355000004,11.695002514,1.62788970800005,2.35930169200004,4.85046624500005,6.30000906100004,1.90963984800003,0.578678742000042,2.50254839600005,3.47396976200005,2.44657783000004,1.51499992000005,0.683030645000031,1.51405126600003,2.04909194000005,3.02810253200004,3.63049761900003,2.46460224700003,1.81856909600005,2.61448952900004,1.78346891000005,48384,240
35.404703835,31.121532492,35.180821568,32.432571871,26.735906546,17.588987801,26.788082497,23.864331871,26.689422515,10.938925535,17.38123265,26.310909702,24.734247289,27.978642859,28.034613428,6.11976486400001,10.029166662,18.928486795,25.071019347,32.106235003,30.841679654,11.16944838,14.070431317,5.338074234,48384,240
4.61614878900001,4.36665286900001,2.82319333800002,2.47693474900001,2.75963354100001,1.92197234700002,2.98731042500002,2.08229481800001,1.78346891000001,1.12700056700003,2.90477755600002,1.53587029900002,1.94568868900001,3.07079195000002,4.26704423300002,0.888888495000014,1.32811514500002,2.12213827500002,1.81192851900001,2.57274877000002,3.99572927800002,1.76354718100003,1.514051266,0.989445783000014,48384,240
1.10043826400005,0.680184684000045,0.0730463350000416,0.858531576000045,0.334874748000045,0.457251072000042,0.0777896010000486,0.0351001860000555,0.161271125000049,0.905015607000045,1.48938627200005,0.360488397000062,0.0711490250000625,0.0322542240000555,0.071149025000059,3.26147133700004,0.775050053000049,0.121427670000059,0.311158406000059,0.252341878000052,0.252341878000062,0.0294082640000555,0.149887282000045,0.118581709000049,48384,240
0.164264766,0.038712079,0.251105373,0.036619534,0.095210788,0.002092544,0.007323907,0.039758351,0.111951145,0,0.002092544,0.025110537,0.106719783,0.055452437,0.033480716,0,0.001046272,0.003138816,0.11404369,0.063822615,0.051267347,0.003138817,0.029295627,0.009416451,48384,264
0.165311038,0.013601541,0.388167057,0.024064265,0.189375303,0,0,0.119275053,0.019879175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48384,264
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48384,264
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48384,264
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48384,264
0,0.007323906,0,0.003138817,0.02197172,0,0,0.001046272,0.008370179,0,0,0,0,0.027203081,0.025110538,0,0,0,0.028249355,0.007323906,0.002092544,0,0.008370179,0.001046272,48384,264
0.377704333,1.992102633,0.646596338,3.831449498,2.253670731,0.069053977,0.168449855,1.69705382,0.421647775,0.062776343,0.075331612,0.006277633,0.018832903,0.020925448,0.21030075,0.044989714,0.101488422,0.084748064,0.294002542,0.049174802,0.458267308,0.032434444,0.071146522,0.052313619,48384,264
1.349691387,2.390732416,1.642647654,1.59661167,1.976408548,3.569881401,2.477573022,2.691012591,2.571737538,4.471768202,2.124979228,1.791218333,4.043842795,2.014074355,0.538830282,3.263323591,2.688920046,1.960714463,3.933984193,3.23612051,1.053596298,3.551048498,5.242870954,4.509434008,48384,264
4.305410893,2.429444495,3.318776025,0.869452359,1.011745404,2.879341625,1.394681101,0.576496089,0.488609206,3.040467572,2.676364777,1.112187553,0.232272471,0.188329031,0.112997419,1.494076975,1.306794217,0.920719703,0.685308416,0.770056481,0.31911308,2.558135999,3.629518928,1.969084643,48384,264
3.330285024,6.366567503,4.587904437,9.131865436,13.633975539,4.765770744,4.800297734,9.539911667,15.593643727,7.537346309,6.935739686,6.581053344,11.387628713,15.006684915,11.702556701,5.213575328,3.466300433,3.799015055,10.324615962,11.828109388,8.28543107,4.713457124,8.746837194,6.297513525,48384,264
2.72972467,3.964326092,3.437004807,4.832732176,3.44328244,1.33922866,2.604171984,4.069999603,1.358061566,0.431064223,0.360963976,1.970130914,3.931891647,1.561038409,0.299233904,0.083701791,0.08370179,0.397583508,3.546863408,1.078706837,0.082655519,0.173681217,1.360154111,0.443619495,48384,264
17.56272837,16.681767014,13.373453712,15.618754265,10.457492553,5.206251419,6.712883662,11.004693016,9.82554403,2.362483059,1.106956188,4.241588278,7.617909285,10.021196969,6.354012236,2.880387894,3.632657745,3.428634628,6.087212775,4.166256663,1.681359734,1.567316042,3.521752869,1.546390596,48384,264
68.448186142,64.345752102,88.649613482,91.1083536,91.701590056,44.080502142,60.418045538,86.149022463,100.554100763,35.971891103,36.329716259,42.850085807,62.98664426,84.273056071,90.172986081,36.255430919,33.316451769,32.11219225,38.382502693,53.117156788,58.574513582,29.275747796,35.948873112,43.431813258,48384,264
6.650107322,9.986669978,4.053259248,8.922610958,10.527592807,2.235884102,2.69205886,6.703467216,9.976207256,5.564076578,4.572210351,2.26517973,4.217524011,7.448413157,15.24523502,9.988762523,8.109657309,3.702757995,4.852611355,9.536772851,14.592361047,5.349590736,7.972595626,8.710217665,48384,264
4.168349208,5.558845215,8.035371968,8.106518492,7.198354057,13.585847011,11.421109429,11.39913771,6.614534063,21.478925931,22.453005527,11.270446204,12.126297021,8.576294794,14.568296784,11.342639001,11.473423048,18.550409504,13.856831556,17.505183388,20.813496692,17.153635864,23.103786954,22.107735639,48384,264
2.540349369,4.952007229,3.541632045,5.887374749,9.639307547,6.084073958,6.491073918,2.46397148,6.528739725,9.064904004,8.128490212,3.484087065,1.25029551,2.039184892,2.878295347,11.208716135,7.094773087,6.3477346,5.00850594,1.67089701,3.636842834,11.919135087,16.216175802,18.055522666,48384,264
2.623004886,6.836343808,3.693341544,6.27344926,20.768506977,3.826218136,5.985724354,6.582099617,17.386954605,4.188228384,6.129063671,5.142428805,3.625333838,12.804281533,23.88430616,3.069763197,1.922002385,1.626953567,5.501300235,12.084446123,17.035407082,6.520369545,11.726620965,7.517467134,48384,264
9.48759805,8.301125157,14.424957464,11.29451047,6.937832232,5.419690989,11.369842082,7.492356597,7.059199827,10.630127501,8.533397629,11.033988643,14.590268502,8.897500419,9.360999089,7.498634231,2.9483956,6.477472376,12.256034797,11.408554158,10.842520795,8.043742148,12.70802447,11.467145414,48384,264
16.410782467,10.811132624,22.86523685,16.576093504,26.673668355,22.299203487,26.759462692,18.651897929,19.966016054,16.605389131,29.906650047,29.918159044,20.540419594,14.680247929,14.722098824,8.035371967,21.849306358,30.319927642,24.715046439,24.034969385,18.763849074,31.367246303,29.479770913,26.503125958,48384,264
26.279223667,20.390802642,29.367819768,28.282835295,38.224515563,24.568568308,35.45503254,49.186311414,64.40852844,64.320641556,34.556284557,35.430968279,49.437416785,64.257865216,58.625780931,78.952760958,51.173182684,43.185939244,37.264037506,41.629085926,36.066055618,38.507009107,26.611938285,17.556450734,48384,264
1.507678518,1.56208468,1.121604004,2.111377686,2.544534457,0.801444652,0.779472931,1.677174642,1.369570561,1.296331495,0.661244152,0.681123326,1.109048737,0.985588595,0.979310958,0.811907376,0.457221036,0.49907193,0.630902254,0.819231281,1.075568019,0.48547039,0.646596337,0.592190173,48384,264
6.112323313,3.283202766,4.072092149,1.189611707,2.750650117,0.682169599,0.308650356,1.01488422,3.227750328,0.469776303,0.181005123,0.644503794,0.585912539,2.86469381,2.290290265,0.516858562,0.324344441,0.469776304,0.64241125,1.242971601,0.71774286,0.631948525,0.7920282,0.326436986,48384,264
7.333323193,9.058626367,3.970603728,6.628135602,9.434238155,0.505349564,0.754362394,1.746228622,5.369469914,0.242735195,0.239596378,0.239596378,0.472915121,2.099868691,2.691012591,0.044989712,0.04394344,0.081609246,0.282493545,0.494886841,0.928043611,0.057544982,0.314927989,0.143339318,48384,264
1.517094969,4.507341466,2.273549907,5.145567624,7.063384917,0.383981968,0.54720046,2.508961196,1.36015411,0.281447273,0.462452397,0.257383008,2.792501013,3.63475029,2.723447037,0.105673511,0.1705424,0.092071972,1.324580849,4.25623609,2.902359613,0.118228779,0.425832862,0.128691505,48384,264
2.985015131,1.617537118,3.336562657,1.708562815,1.14566827,2.793547284,3.812616595,1.312025578,1.045226119,0.93536752,3.68811018,4.478045838,1.261804504,0.464544942,0.253197917,0.695771141,1.11951146,2.865740079,2.025583351,0.839110457,0.574403542,0.921765977,2.197172022,1.235647696,48384,264
0.632994798,1.267035866,0.541969099,0.256336734,0.350501252,0.012555269,0.120321325,0.567079637,0.555570639,0,0.023017993,0.227041109,0.467683758,0.380843152,0.290863725,0,0.032434444,0.326436987,0.368287882,0.10044215,0.169496127,0.217624658,0.218670929,0.094164516,48384,264
0.006277634,0.017786631,0.00837018,0.04394344,0.182051396,0.002092545,0.002092545,0.121367597,0.064868888,0.002092545,0.010462724,0.024064265,0.200884299,1.947112921,0.906071892,0.001046272,0.002092545,0.012555269,0.031388171,0.860035905,0.394444692,0.002092545,0.001046272,0,48384,264
0.064868889,0.895609169,0.109858601,1.980593638,1.675082099,0.023017994,0.19251412,2.243208006,0.888285261,0,0.020925448,0.21030075,0.480239028,0.473961394,0.447804582,0,0.001046272,0.02615681,0.164264767,0.287724907,0.259475552,0.006277635,0.117182507,0.145431863,48384,264
